"Name","SamAccountName","Enabled","LastLogonDate","PasswordLastSet"
"Administrator","Administrator","True","5/14/2026 5:30:41 AM","5/14/2026 11:52:01 AM"
"Guest","Guest","False",,
"krbtgt","krbtgt","False",,"5/14/2026 5:27:41 AM"
"Jason","jason","True","5/14/2026 5:48:25 AM","5/14/2026 5:39:51 AM"
"Judith","Judith","True",,"5/14/2026 5:40:34 AM"
"Jaye","Jaye","True",,"5/14/2026 5:41:26 AM"
"Jeff","Jeff","True",,"5/14/2026 5:42:21 AM"
"Kobina Ansah","KobinaAnsah","False",,"5/18/2026 5:45:17 AM"
"John Smith","jsmith2","True",,"5/18/2026 7:17:44 AM"
"Ama Mensah","amensah","True",,"5/18/2026 7:17:44 AM"
"Kwame Fordjour","kfordjour","True",,"5/18/2026 7:17:45 AM"
"Sarah Brown","sbrown","True",,"5/18/2026 7:17:45 AM"
"Nana Mensah","NanaMensah","True",,"5/18/2026 7:17:45 AM"
"Kelvin Moore","jmoore","True",,"5/18/2026 11:22:45 PM"
"Kofi Mensah","Kofimensah","True",,"5/18/2026 11:22:46 PM"
"Kwesi Ansah","KweAnsah","True",,"5/18/2026 11:22:46 PM"
"Jason Ossei","Jossei","True",,"5/18/2026 11:22:46 PM"
"Nana Kobina","NanaKobina","True",,"5/18/2026 11:22:47 PM"
